Tree ID,ID,Time [s],PositionX [?m],PositionY [?m]
1,1,00:00.2,45.74097,3.231699
1,1,00:00.3,45.74097,3.231699
1,1,00:00.5,45.74097,3.355995
1,1,00:00.7,45.74097,3.355995
1,1,00:00.9,45.74097,3.355995
1,1,00:01.1,45.865266,3.355995
1,1,00:01.3,45.865266,3.355995
1,1,00:01.5,45.865266,3.231699
1,1,00:01.7,45.865266,3.231699
1,1,00:01.9,45.865266,3.231699
1,1,00:02.1,45.865266,3.231699
1,1,00:02.3,45.865266,3.231699
1,1,00:02.5,45.74097,3.231699
1,1,00:02.7,45.74097,3.107403
1,1,00:02.9,45.616674,3.107403
1,1,00:03.1,45.492378,3.107403
1,1,00:03.3,45.368082,3.107403
1,1,00:03.5,45.243785,3.107403
1,1,00:03.7,45.119489,3.107403
1,1,00:03.9,44.995193,3.107403
1,1,00:04.0,44.870897,3.231699
1,1,00:04.2,44.746601,3.231699
1,1,00:04.4,44.746601,3.231699
1,1,00:04.6,44.187268,3.355995
1,1,00:04.8,43.627936,3.480291
1,1,00:05.0,43.752232,3.480291
1,1,00:05.2,43.752232,3.480291
1,1,00:05.4,44.187268,3.480291
1,1,00:05.6,44.622305,3.480291
1,1,00:05.8,44.870897,3.355995
1,1,00:06.0,44.870897,3.355995
1,1,00:06.2,44.995193,3.355995
1,1,00:06.4,44.995193,3.355995
1,1,00:06.6,45.119489,3.355995
1,1,00:06.8,45.119489,3.355995
1,1,00:07.0,45.119489,3.355995
1,1,00:07.2,45.119489,3.355995
1,1,00:07.4,45.119489,3.355995
1,1,00:07.6,45.119489,3.355995
1,1,00:07.8,45.119489,3.355995
1,1,00:08.0,45.119489,3.355995
1,1,00:08.2,45.119489,3.355995
1,1,00:08.4,45.119489,3.231699
1,1,00:08.6,45.119489,3.231699
1,1,00:08.7,45.119489,3.231699
1,1,00:08.9,45.119489,3.107403
1,1,00:09.1,45.119489,3.107403
1,1,00:09.3,45.119489,3.107403
1,1,00:09.5,45.119489,3.107403
1,1,00:09.7,45.119489,3.107403
1,1,00:09.9,44.995193,3.107403
1,1,00:10.1,44.995193,3.107403
1,1,00:10.3,44.995193,3.107403
1,1,00:10.5,44.995193,3.107403
1,1,00:10.7,44.995193,3.107403
1,1,00:10.9,44.995193,3.107403
1,1,00:11.1,44.995193,3.107403
1,1,00:11.3,44.995193,3.107403
1,1,00:11.5,44.995193,3.107403
1,1,00:11.7,44.995193,3.107403
1,1,00:11.9,44.995193,3.107403
1,1,00:12.1,44.995193,3.107403
1,1,00:12.3,44.995193,3.107403
1,1,00:12.5,44.995193,3.107403
1,1,00:12.7,44.995193,3.107403
1,1,00:12.9,44.995193,3.107403
1,1,00:13.1,44.995193,3.107403
1,1,00:13.3,44.995193,3.107403
1,1,00:13.5,44.995193,2.983107
1,1,00:13.6,44.995193,2.983107
1,1,00:13.8,44.995193,2.983107
1,1,00:14.0,44.870897,3.107403
1,1,00:14.2,44.870897,3.107403
1,1,00:14.4,44.870897,3.107403
1,1,00:14.6,44.870897,3.107403
1,1,00:14.8,44.870897,3.107403
1,1,00:15.0,44.870897,3.107403
1,1,00:15.2,44.870897,3.107403
1,1,00:15.4,44.870897,3.107403
1,1,00:15.6,44.995193,3.107403
1,1,00:15.8,44.995193,3.107403
1,1,00:16.0,44.870897,2.983107
1,1,00:16.2,44.870897,2.983107
1,1,00:16.4,44.870897,2.983107
1,1,00:16.6,44.870897,2.983107
1,1,00:16.8,44.870897,2.983107
1,1,00:17.0,44.870897,2.983107
1,1,00:17.2,44.995193,3.107403
1,1,00:17.3,44.995193,2.983107
1,1,00:17.6,44.995193,3.107403
1,1,00:17.8,44.995193,3.107403
1,1,00:18.0,44.995193,3.107403
1,1,00:18.2,44.870897,3.107403
1,1,00:18.3,44.870897,3.107403
1,1,00:18.5,44.870897,3.107403
1,1,00:18.7,44.870897,3.107403
1,1,00:18.9,44.870897,3.107403
1,1,00:19.1,44.995193,3.107403
1,1,00:19.3,44.870897,3.107403
1,1,00:19.5,44.995193,3.107403
1,1,00:19.7,44.995193,3.107403
1,1,00:19.9,44.995193,3.107403
1,1,00:20.1,44.995193,3.107403
1,1,00:20.3,44.995193,3.107403
1,1,00:20.5,44.995193,3.107403
1,1,00:20.7,44.995193,3.107403
1,1,00:20.9,44.995193,3.107403
1,1,00:21.1,44.995193,3.107403
1,1,00:21.3,44.995193,3.107403
1,1,00:21.5,44.995193,3.107403
1,1,00:21.7,44.995193,3.107403
1,1,00:21.9,44.995193,3.107403
1,1,00:22.0,44.995193,3.107403
1,1,00:22.2,44.995193,3.107403
1,1,00:22.4,45.119489,3.107403
1,1,00:22.6,45.119489,3.107403
1,1,00:22.8,45.119489,3.107403
1,1,00:23.0,45.119489,3.107403
1,1,00:23.2,45.119489,3.107403
1,1,00:23.4,45.119489,3.107403
1,1,00:23.6,45.119489,3.107403
1,1,00:23.8,45.119489,3.107403
1,1,00:24.0,45.119489,3.107403
1,1,00:24.2,45.119489,3.107403
1,1,00:24.4,45.119489,3.107403
1,1,00:24.6,45.119489,3.107403
1,1,00:24.8,45.119489,3.231699
1,1,00:25.0,45.119489,3.231699
1,1,00:25.2,44.995193,3.355995
1,1,00:25.4,44.995193,3.355995
1,1,00:25.6,44.870897,3.480291
1,1,00:25.8,44.870897,3.604587
1,1,00:26.0,44.746601,3.85318
1,1,00:26.2,44.641931,3.95785
2,2,00:00.2,51.707183,3.480291
2,2,00:00.3,51.707183,3.480291
2,2,00:00.5,51.707183,3.480291
2,2,00:00.7,51.582887,3.604587
2,2,00:00.9,51.582887,3.604587
2,2,00:01.1,51.582887,3.604587
2,2,00:01.3,51.582887,3.604587
2,2,00:01.5,51.707183,3.604587
2,2,00:01.7,51.707183,3.604587
2,2,00:01.9,51.707183,3.604587
2,2,00:02.1,51.831479,3.604587
2,2,00:02.3,51.707183,3.728883
2,2,00:02.5,51.707183,3.728883
2,2,00:02.7,51.582887,3.85318
2,2,00:02.9,51.582887,3.728883
2,2,00:03.1,51.458591,3.85318
2,2,00:03.3,51.334295,3.85318
2,2,00:03.5,51.334295,3.85318
2,2,00:03.7,51.334295,3.85318
2,2,00:03.9,51.334295,3.85318
2,2,00:04.0,51.334295,3.85318
2,2,00:04.2,51.209999,3.85318
2,2,00:04.4,51.209999,3.85318
2,2,00:04.6,51.209999,3.85318
2,2,00:04.8,51.209999,3.85318
2,2,00:05.0,51.209999,3.977476
2,2,00:05.2,51.085703,3.977476
2,2,00:05.4,51.085703,3.977476
2,2,00:05.6,51.085703,3.977476
2,2,00:05.8,51.209999,3.85318
2,2,00:06.0,51.458591,3.604587
2,2,00:06.2,51.582887,3.480291
2,2,00:06.4,51.582887,3.355995
2,2,00:06.6,51.582887,3.355995
2,2,00:06.8,51.582887,3.355995
2,2,00:07.0,51.582887,3.355995
2,2,00:07.2,51.582887,3.355995
2,2,00:07.4,51.458591,3.480291
3,3,00:00.2,38.531795,4.350364
3,3,00:00.3,38.531795,4.350364
3,3,00:00.5,38.531795,4.350364
3,3,00:00.7,38.531795,4.350364
3,3,00:00.9,38.531795,4.47466
3,3,00:01.1,38.531795,4.47466
3,3,00:01.3,38.656091,4.598956
3,3,00:01.5,38.656091,4.598956
3,3,00:01.7,38.656091,4.598956
3,3,00:01.9,38.656091,4.598956
3,3,00:02.1,38.656091,4.598956
3,3,00:02.3,38.656091,4.47466
3,3,00:02.5,38.656091,4.47466
3,3,00:02.7,38.531795,4.47466
3,3,00:02.9,38.531795,4.47466
3,3,00:03.1,38.531795,4.47466
3,3,00:03.3,38.656091,4.47466
3,3,00:03.5,38.656091,4.47466
3,3,00:03.7,38.780388,4.47466
3,3,00:03.9,38.780388,4.47466
3,3,00:04.0,38.780388,4.598956
3,3,00:04.2,38.780388,4.598956
3,3,00:04.4,38.780388,4.598956
3,3,00:04.6,38.780388,4.598956
3,3,00:04.8,38.780388,4.598956
3,3,00:05.0,38.656091,4.598956
3,3,00:05.2,38.656091,4.47466
3,3,00:05.4,38.656091,4.47466
3,3,00:05.6,38.531795,4.47466
3,3,00:05.8,38.407499,4.47466
3,3,00:06.0,38.034611,4.350364
3,3,00:06.2,37.786019,4.226068
3,3,00:06.4,36.915946,4.101772
3,3,00:06.6,36.170169,3.85318
3,3,00:06.8,35.424392,3.604587
3,3,00:07.0,35.300096,3.604587
4,4,00:00.2,31.819805,5.593325
4,4,00:00.3,31.819805,5.593325
4,4,00:00.5,31.819805,5.593325
4,4,00:00.7,31.819805,5.593325
4,4,00:00.9,31.819805,5.593325
4,4,00:01.1,31.695509,5.469029
4,4,00:01.3,31.695509,5.469029
4,4,00:01.5,31.571213,5.220437
4,4,00:01.7,31.446917,5.096141
4,4,00:01.9,31.446917,4.971845
4,4,00:02.1,31.446917,4.847548
4,4,00:02.3,31.446917,4.723252
4,4,00:02.5,31.446917,4.598956
4,4,00:02.7,31.446917,4.47466
4,4,00:02.9,31.446917,4.47466
4,4,00:03.1,31.322621,4.350364
4,4,00:03.3,31.322621,4.350364
4,4,00:03.5,31.322621,4.350364
4,4,00:03.7,31.322621,4.350364
4,4,00:03.9,31.322621,4.350364
4,4,00:04.0,31.322621,4.350364
4,4,00:04.2,31.322621,4.47466
4,4,00:04.4,31.322621,4.47466
4,4,00:04.6,31.322621,4.47466
4,4,00:04.8,31.322621,4.598956
4,4,00:05.0,31.322621,4.598956
4,4,00:05.2,31.322621,4.598956
4,4,00:05.4,31.446917,4.598956
4,4,00:05.6,31.446917,4.598956
